tau,delta,omega1,omega2,alpha,beta,gamma
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.024999993487958783,0.024999993487958783,-1.3024082257118152e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.07192249441438314,0.02499999000682429,0.02499999000682429,-1.8734486850746634e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.10345690405573947,0.02499998280387894,0.02499998280387894,-2.6948611342447748e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.14881757208156587,0.024999967899997255,0.024999967899997255,-3.8764198961871443e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.21406661993596965,0.024999937061843003,0.024999937061843003,-5.5760275508021095e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.30792410553301314,0.024999873253588767,0.024999873253588767,-8.020811659292804e-08
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.4429333952050412,0.024999741226120253,0.024999741226120253,-1.1537462452082536e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.6371374928515666,0.024999468045717066,0.024999468045717066,-1.65958437214897e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.9164903554162177,0.024998902809124424,0.024998902809124424,-2.3871641285921896e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,1.3183254493651788,0.024997733305302194,0.024997733305302194,-3.433623048110235e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,1.8963450953661247,0.02499531364904861,0.02499531364904861,-4.938520490327392e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,2.727797390584258,0.02499030793932855,0.02499030793932855,-7.102105445966345e-07
0.049999999999999996,0.049999999999999996,0.049999999999999996,3.923799851757305,0.024979954257932313,0.024979954257932313,-1.0210938157229066e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,5.64418945842344,0.024999999991307753,0.024917094854651545,-1.4672797501447121e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,8.118883695943603,0.02499999998190816,0.024828647444747887,-2.106111660182819e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,11.678607345450605,0.024999999962108,0.02464623573804481,-3.016183615756063e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,16.7990914314189,0.02499999991967705,0.02427135222525134,-4.299080091030305e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,24.164651192858756,0.024999999825912944,0.02350650578028013,-6.0674794974957535e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,34.75963980887802,0.02499999960884125,0.021969598671766732,-8.388097801237393e-06
0.049999999999999996,0.049999999999999996,0.049999999999999996,49.99999999999999,0.024999999081124713,0.018978610509885918,-1.109790156661461e-05
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.049999999999999996,0.02499999000682429,0.02499999000682429,-1.8734486850746634e-08
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.07192249441438314,0.024999986525691575,0.024999986525691575,-2.6948615783339847e-08
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.10345690405573947,0.024999979322749777,0.024999979322749777,-3.8764220278153516e-08
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.14881757208156587,0.024999964418876086,0.024999964418876086,-5.576034922682993e-08
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.21406661993596965,0.024999933580736933,0.024999933580736933,-8.020834840749558e-08
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.30792410553301314,0.02499986977251467,0.02499986977251467,-1.1537533683991796e-07
0.049999999999999996,0.049999999999999996,0.07192249441438314,0.4429333952050412,0.02499973774511277,0.02499973774511277,-1.659605874948511e-07
